# measured-SLOW quick tests (>=15s wall in UML) — keep out of fast smoke
btrfs/034 230s
btrfs/021 168s
btrfs/220 163s
btrfs/181 95s
btrfs/182 93s
btrfs/338 85s
generic/129 74s
generic/124 49s
btrfs/303 48s
btrfs/230 48s
btrfs/052 47s
btrfs/262 43s
btrfs/046 40s
generic/009 39s
btrfs/205 34s
btrfs/130 34s
btrfs/026 34s
generic/225 32s
btrfs/180 30s
generic/185 28s
generic/195 27s
generic/295 26s
generic/293 26s
btrfs/081 26s
generic/120 25s
generic/007 25s
generic/003 25s
btrfs/154 24s
btrfs/112 24s
generic/018 23s
btrfs/247 23s
btrfs/037 23s
generic/190 22s
generic/182 22s
generic/143 22s
generic/078 22s
generic/025 22s
btrfs/326 22s
btrfs/048 22s
generic/158 20s
generic/008 20s
btrfs/322 20s
btrfs/287 20s
generic/188 19s
generic/023 19s
generic/011 19s
btrfs/224 19s
btrfs/193 19s
btrfs/149 19s
btrfs/117 19s
btrfs/055 19s
generic/292 18s
generic/157 18s
generic/154 18s
generic/142 18s
generic/099 18s
btrfs/331 18s
btrfs/319 18s
btrfs/281 18s
btrfs/189 18s
btrfs/169 18s
btrfs/137 18s
btrfs/123 18s
generic/406 17s
generic/201 17s
generic/103 17s
generic/053 17s
btrfs/283 17s
btrfs/203 17s
btrfs/191 17s
btrfs/152 17s
generic/189 16s
btrfs/279 16s
btrfs/278 16s
btrfs/229 16s
btrfs/168 16s
btrfs/135 16s
btrfs/133 16s
btrfs/045 16s
btrfs/041 16s
btrfs/188 15s
btrfs/153 15s
btrfs/129 15s
btrfs/127 15s
btrfs/111 15s
btrfs/054 15s
btrfs/044 15s
